slug,category,keyword,display_name
outer_01,outer,트렌치코트,트렌치코트
outer_02,outer,블레이저,블레이저
outer_03,outer,코트,코트
outer_04,outer,패딩,패딩
outer_05,outer,숏패딩,숏패딩
outer_06,outer,롱패딩,롱패딩
outer_07,outer,더플코트,더플코트
outer_08,outer,무스탕,무스탕
top_01,top,크롭티,크롭티
top_02,top,니트,니트
top_03,top,니트베스트,니트베스트
top_04,top,맨투맨,맨투맨
top_05,top,후드티,후드티
top_06,top,셔츠,셔츠
top_07,top,블라우스,블라우스
top_08,top,카라티,카라티
bottom_01,bottom,와이드팬츠,와이드팬츠
bottom_02,bottom,카고팬츠,카고팬츠
bottom_03,bottom,슬랙스,슬랙스
bottom_04,bottom,부츠컷,부츠컷
bottom_05,bottom,와이드데님,와이드데님
bottom_06,bottom,스키니진,스키니진
bottom_07,bottom,조거팬츠,조거팬츠
bottom_08,bottom,트레이닝팬츠,트레이닝팬츠
dress_01,dress,미니스커트,미니스커트
dress_02,dress,롱스커트,롱스커트
dress_03,dress,플리츠스커트,플리츠스커트
dress_04,dress,데님스커트,데님스커트
dress_05,dress,테니스스커트,테니스스커트
shoes_01,shoes,어글리슈즈,어글리슈즈
shoes_02,shoes,부츠,부츠
shoes_03,shoes,샌들,샌들
shoes_04,shoes,슬리퍼,슬리퍼
shoes_05,shoes,스니커즈,스니커즈
shoes_06,shoes,로퍼,로퍼
bag_01,bag,토트백,토트백
bag_02,bag,숄더백,숄더백
bag_03,bag,크로스백,크로스백
bag_04,bag,백팩,백팩
bag_05,bag,클러치,클러치
acc_01,acc,머플러,머플러
acc_02,acc,비니,비니
acc_03,acc,버킷햇,버킷햇
acc_04,acc,발라클라바,발라클라바
trend_01,trend,Y2K,Y2K
trend_02,trend,발레코어,발레코어
trend_03,trend,고프코어,고프코어
trend_04,trend,올드머니,올드머니
trend_05,trend,시티보이,시티보이
trend_06,trend,블록코어,블록코어
