slug,category,keyword,display_name
outer_01,outer,트렌치코트,트렌치코트
outer_02,outer,블레이저,블레이저
outer_03,outer,코트,코트
outer_04,outer,패딩,패딩
outer_05,outer,숏패딩,숏패딩
outer_06,outer,롱패딩,롱패딩
outer_07,outer,더플코트,더플코트
outer_08,outer,무스탕,무스탕
outer_09,outer,가디건,가디건
outer_10,outer,바람막이,바람막이
outer_11,outer,야상,야상
outer_13,outer,데님자켓,데님자켓
outer_14,outer,레더자켓,레더자켓
outer_15,outer,라이더자켓,라이더자켓
outer_16,outer,후드집업,후드집업
outer_17,outer,트러커자켓,트러커자켓
outer_18,outer,퀼팅자켓,퀼팅자켓
outer_21,outer,가죽코트,가죽코트
outer_24,outer,트위드자켓,트위드자켓
outer_25,outer,패딩조끼,패딩조끼
outer_26,outer,코듀로이자켓,코듀로이자켓
outer_28,outer,떡볶이코트,떡볶이코트
outer_29,outer,발마칸코트,발마칸코트
outer_30,outer,항공점퍼,항공점퍼
outer_a01,outer,후리스,후리스
outer_a02,outer,아노락,아노락
outer_a03,outer,블루종,블루종
outer_a04,outer,야구점퍼,야구점퍼
outer_a05,outer,싱글코트,싱글코트
outer_a06,outer,더블코트,더블코트
outer_a07,outer,오버핏코트,오버핏코트
outer_a08,outer,더블브레스트자켓,더블브레스트자켓
outer_a09,outer,싱글자켓,싱글자켓
top_01,top,크롭티,크롭티
top_02,top,니트,니트
top_03,top,니트베스트,니트베스트
top_04,top,맨투맨,맨투맨
top_05,top,후드티,후드티
top_06,top,셔츠,셔츠
top_07,top,블라우스,블라우스
top_08,top,카라티,카라티
top_09,top,라운드티,라운드티
top_10,top,나시,나시
top_11,top,폴로셔츠,폴로셔츠
top_12,top,터틀넥,터틀넥
top_13,top,스웨터,스웨터
top_14,top,럭비셔츠,럭비셔츠
top_17,top,뷔스티에,뷔스티에
top_18,top,홀터넥,홀터넥
top_19,top,오프숄더,오프숄더
top_20,top,케이블니트,케이블니트
top_21,top,집업니트,집업니트
top_22,top,린넨셔츠,린넨셔츠
top_24,top,베스트,베스트
top_25,top,카라니트,카라니트
top_26,top,보트넥,보트넥
top_27,top,스트라이프티,스트라이프티
top_28,top,헨리넥,헨리넥
top_29,top,크롭니트,크롭니트
top_30,top,슬리브리스,슬리브리스
top_a01,top,무지티,무지티
top_a02,top,튜브탑,튜브탑
top_a03,top,실크블라우스,실크블라우스
top_a04,top,오버핏셔츠,오버핏셔츠
top_a05,top,피케셔츠,피케셔츠
top_a06,top,브이넥니트,브이넥니트
bottom_01,bottom,와이드팬츠,와이드팬츠
bottom_02,bottom,카고팬츠,카고팬츠
bottom_03,bottom,슬랙스,슬랙스
bottom_04,bottom,부츠컷,부츠컷
bottom_05,bottom,와이드데님,와이드데님
bottom_06,bottom,스키니진,스키니진
bottom_07,bottom,조거팬츠,조거팬츠
bottom_08,bottom,트레이닝팬츠,트레이닝팬츠
bottom_09,bottom,치노팬츠,치노팬츠
bottom_11,bottom,버뮤다팬츠,버뮤다팬츠
bottom_12,bottom,레깅스,레깅스
bottom_16,bottom,코듀로이팬츠,코듀로이팬츠
bottom_18,bottom,파라슈트팬츠,파라슈트팬츠
bottom_19,bottom,밴딩팬츠,밴딩팬츠
bottom_23,bottom,점프수트,점프수트
bottom_24,bottom,멜빵바지,멜빵바지
bottom_25,bottom,핫팬츠,핫팬츠
bottom_26,bottom,린넨팬츠,린넨팬츠
bottom_27,bottom,플레어팬츠,플레어팬츠
bottom_30,bottom,트랙팬츠,트랙팬츠
bottom_a01,bottom,부츠컷슬랙스,부츠컷슬랙스
bottom_a02,bottom,데님쇼츠,데님쇼츠
bottom_a03,bottom,스트레이트팬츠,스트레이트팬츠
bottom_a04,bottom,로우라이즈,로우라이즈
bottom_a05,bottom,하이웨이스트,하이웨이스트
bottom_a06,bottom,랩스커트,랩스커트
bottom_a07,bottom,카프리팬츠,카프리팬츠
bottom_a08,bottom,캉캉스커트,캉캉스커트
dress_01,bottom,미니스커트,미니스커트
dress_02,bottom,롱스커트,롱스커트
dress_03,bottom,플리츠스커트,플리츠스커트
dress_04,bottom,데님스커트,데님스커트
dress_05,bottom,테니스스커트,테니스스커트
dress_06,bottom,머메이드스커트,머메이드스커트
dress_13,bottom,발레리나스커트,발레리나스커트
dress_14,bottom,카고스커트,카고스커트
dress_15,bottom,트위드스커트,트위드스커트
dress_16,bottom,A라인스커트,A라인스커트
dress_07,dress,슬립원피스,슬립원피스
dress_08,dress,셔츠원피스,셔츠원피스
dress_09,dress,니트원피스,니트원피스
dress_10,dress,랩원피스,랩원피스
dress_17,dress,플라워원피스,플라워원피스
dress_19,dress,맥시원피스,맥시원피스
dress_20,dress,미니원피스,미니원피스
dress_a01,dress,미디원피스,미디원피스
dress_a02,dress,데님원피스,데님원피스
dress_a03,dress,오프숄더원피스,오프숄더원피스
dress_a04,dress,재킷원피스,재킷원피스
dress_a05,dress,A라인원피스,A라인원피스
dress_a06,dress,H라인원피스,H라인원피스
shoes_01,shoes,어글리슈즈,어글리슈즈
shoes_02,shoes,부츠,부츠
shoes_03,shoes,샌들,샌들
shoes_04,shoes,슬리퍼,슬리퍼
shoes_05,shoes,스니커즈,스니커즈
shoes_06,shoes,로퍼,로퍼
shoes_07,shoes,메리제인,메리제인
shoes_08,shoes,발레플랫,발레플랫
shoes_09,shoes,첼시부츠,첼시부츠
shoes_10,shoes,어그,어그
shoes_11,shoes,크록스,크록스
shoes_12,shoes,뮬,뮬
shoes_14,shoes,옥스포드슈즈,옥스포드슈즈
shoes_15,shoes,워커,워커
shoes_16,shoes,스웨이드로퍼,스웨이드로퍼
shoes_17,shoes,캔버스화,캔버스화
shoes_19,shoes,롱부츠,롱부츠
shoes_20,shoes,앵클부츠,앵클부츠
shoes_21,shoes,젤리슈즈,젤리슈즈
shoes_a01,shoes,화이트스니커즈,화이트스니커즈
