slug,display_name,category,cluster_label,rule_label,stage,persistence,volatility,F_T,F_S,slope_norm,recent_change,duration_ratio,cv_resid,peak_sharpness,time_to_peak,peak_value,current_value,n_weeks,used_period,cluster
outer_01,트렌치코트,outer,메가,스테디,쇠퇴/잔존,0.2253,0.0965,0.5216,0.836,-0.1473,0.0951,0.0992,0.2758,4.5455,0.0,100.0,8.0,262,52,1
outer_02,블레이저,outer,메가,스테디,쇠퇴/잔존,2.0156,-1.1252,0.71,0.7852,-0.089,0.0295,0.3206,0.1137,2.2989,0.0,100.0,25.0,262,52,1
outer_03,코트,outer,스테디,스테디,도입,0.1915,-0.785,0.2475,0.7941,0.0102,0.1097,0.313,0.2045,2.8169,1.0,100.0,35.0,262,52,2
outer_04,패딩,outer,스테디,스테디,쇠퇴/잔존,-1.1732,2.7243,0.0745,0.8826,0.0375,0.054,0.1679,0.3606,10.0,1.0,100.0,4.0,262,52,2
outer_05,숏패딩,outer,메가,스테디,쇠퇴,-0.8738,1.1692,0.2561,0.8597,-0.1693,-0.1154,0.084,0.5317,6.25,0.0,100.0,1.0,262,52,1
outer_06,롱패딩,outer,메가,스테디,쇠퇴/잔존,-1.6227,4.0461,0.0482,0.8467,-0.0549,-0.0211,0.0954,0.5066,12.5,0.0,100.0,2.0,262,52,1
outer_07,더플코트,outer,메가,스테디,쇠퇴/잔존,-1.4288,-0.539,0.0178,0.7734,-0.121,-0.0834,0.1603,0.7751,2.0,0.0,100.0,3.0,262,52,1
outer_08,무스탕,outer,스테디,스테디,쇠퇴/잔존,-0.5398,0.9411,0.1957,0.9423,0.0689,0.0455,0.2023,0.2382,6.4516,1.0,100.0,5.0,262,52,2
outer_09,가디건,outer,스테디,스테디,쇠퇴/잔존,2.2761,-1.2679,0.5263,0.8916,-0.0107,0.0865,0.5229,0.1103,2.0,1.0,100.0,28.0,262,52,2
outer_10,바람막이,outer,스테디,스테디,성장,1.3047,-0.8633,0.5782,0.8607,0.1207,0.1521,0.2786,0.1496,2.7778,1.0,100.0,42.0,262,52,2
outer_11,야상,outer,스테디,스테디,도입,0.8077,-0.9403,0.3312,0.8419,0.0437,0.2193,0.374,0.223,2.439,1.0,100.0,19.0,262,52,2
outer_13,데님자켓,outer,스테디,스테디,도입,1.7134,-0.7557,0.7645,0.8343,0.3158,0.177,0.2137,0.2478,2.7778,1.0,100.0,19.0,262,52,2
outer_14,레더자켓,outer,스테디,스테디,도입,0.6012,-0.1957,0.6473,0.8206,0.352,0.3411,0.0763,0.3661,3.7037,1.0,100.0,13.0,262,52,2
outer_15,라이더자켓,outer,메가,스테디,쇠퇴/잔존,-0.126,-0.5318,0.3406,0.66,-0.2437,0.0968,0.1718,0.5426,2.5641,0.0,100.0,9.0,262,52,1
