slug,category,keyword,display_name
mega_wide_pants,mega,와이드팬츠,와이드 팬츠
mega_blazer,mega,블레이저,테일러드 자켓(블레이저)
mega_trench_coat,mega,트렌치코트,트렌치코트
mega_oversized,mega,오버사이즈,오버사이즈 핏
mega_cargo_pants,mega,카고팬츠,카고 팬츠
mega_ugly_shoes,mega,어글리슈즈,어글리슈즈(청키)
mega_slacks,mega,슬랙스,슬랙스
mega_knit_vest,mega,니트베스트,니트 베스트
mega_crop_top,mega,크롭티,크롭 탑
mega_wide_denim,mega,와이드데님,와이드 데님
micro_balletcore,micro,발레코어,발레코어
micro_y2k,micro,Y2K,Y2K
micro_geek_chic,micro,긱시크,긱시크
micro_underboob,micro,언더붑,언더붑
micro_bootcut,micro,부츠컷,부츠컷
micro_city_boy,micro,시티보이,시티보이
micro_blokecore,micro,블록코어,블록코어
micro_gorpcore,micro,고프코어,고프코어
micro_old_money,micro,올드머니,올드머니
micro_leg_warmer,micro,레그워머,레그워머
steady_padding,steady,패딩,패딩
steady_coat,steady,코트,코트
steady_knit,steady,니트,니트
steady_boots,steady,부츠,부츠
steady_muffler,steady,머플러,머플러
steady_swimsuit,steady,수영복,수영복
steady_bikini,steady,비키니,비키니
steady_sandals,steady,샌들,샌들
steady_slipper,steady,슬리퍼,슬리퍼
steady_cardigan,steady,가디건,가디건
